# map 520
method,step,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
ESSIM-DE,1,0.7560503,0.885246,0,0.813272,0.815789,0.817204,0.820552,0.885246,0.820552,0.820552,0.88209,0.885246,0.143556,0.885246,0.809524,0.882083,0.885246,0.885246,0.887892,0.883929,0.885246,0.885246,0.885246,0.817204,0.820552,0.155229,0.885246,0.820552,0.885246,0.817204
ESSIM-DE,2,0.6951933,0.709064,0.681115,0.681115,0.681115,0.681115,0.709064,0.710102,0.681115,0.709064,0.709064,0.709064,0.709064,0.709064,0.721311,0.75663,0.681115,0.681115,0.68323,0.709064,0.709064,0.709064,0.709064,0.682171,0.709064,0.712188,0.709064,0.681115,0.709064,0.709064
ESSIM-DE,3,0.4356824,0.410572,0.461372,0.461372,0.410572,0.461372,0.410572,0.410572,0.461372,0.461372,0.407676,0.461372,0.461372,0.461372,0.450735,0.441981,0.461372,0.461372,0.462039,0.461372,0.410572,0.461372,0.448625,0.458484,0.410572,0.41074,0.461372,0.461372,0.410572,0.407676
ESSIM-DE,4,0.5572822,0.560091,0.749026,0.661258,0.196265,0.261445,0.618456,0.540589,0.747604,0.747278,0.49081,0.511917,0.482422,0.151348,0.6901,0.694805,0.442652,0.434477,0.738685,0.681946,0.607626,0.725283,0.546112,0.286128,0.204048,0.681529,0.647937,0.609236,0.723238,0.760443
ESSIM-DE,5,0.6107734,0.66563,0.32017,0.860176,0.399492,0.837405,0.42509,0.832744,0.479695,0.466799,0.820533,0.442586,0.444303,0.842041,0.838078,0.800823,0.32782,0.702356,0.87844,0.842611,0.411542,0.554248,0.312951,0.42509,0.3138,0.42509,0.3138,0.355688,0.319321,0.445809
ESSIM-EA,1,0.712141,0.736199,0.801513,0.917881,0.890685,0.918834,0.804841,0.854054,0.863268,0.869484,0.792037,0.806633,0.890129,0.750479,0.867865,0.896825,0.776666,0.857223,0.876227,0.857922,0.710870,0.343119,0.797413,0.891655,0.375937,0.494377,0.901605,0.908837,0.551544,0.795961
ESSIM-EA,2,0.883168,0.845500,0.858316,0.790360,0.823369,0.674307,0.840946,0.891559,0.537341,0.354012,0.796001,0.720053,0.876492,0.719488,0.470252,0.896138,0.819407,0.420669,0.336453,0.895028,0.898652,0.486886,0.794897,0.657599,0.826677,0.724995,0.901336,0.875052,0.974090,0.438224
ESSIM-EA,3,0.873774,0.890000,0.879900,0.917936,0.893364,0.840949,0.839000,0.810608,0.901592,0.947129,0.781958,0.892995,0.712863,0.668198,0.870889,0.611501,0.896124,0.743972,0.668664,0.317539,0.893171,0.669866,0.744023,0.700577,0.411945,0.777092,0.816829,0.852701,0.835564,0.894287
ESSIM-EA,4,0.840533,0.814476,0.681000,0.822700,0.825120,0.616835,0.903830,0.850411,0.769273,0.880815,0.876726,0.438163,0.894011,0.902331,0.794510,0.680626,0.497701,0.893080,0.523041,0.756618,0.627120,0.851337,0.881904,0.891746,0.394574,0.787183,0.625822,0.899889,0.895628,0.760203
ESSIM-EA,5,0.580426,0.843356,0.784535,0.902048,0.887503,0.891480,0.815136,0.794193,0.567943,0.799980,0.906769,0.823975,0.749921,0.784720,0.730292,0.736799,0.894273,0.907804,0.768352,0.695998,0.906013,0.472960,0.440965,0.488425,0.736045,0.668700,0.903997,0.807183,0.768074,0.825607
ESS,1,0.529413,0.597002,0.403038,0.688822,0.202497,0.597636,0.518155,0.274836,0.376997,0.537825,0.408937,0.646819,0.505117,0.435684,0.646836,0.759319,0.602983,0.719306,0.752226,0.472704,0.755143,0.611530,0.707751,0.757141,0.501697,0.750588,0.759213,0.757221,0.524337,0.709849
ESS,2,0.757370,0.733008,0.727845,0.750826,0.845781,0.702450,0.880316,0.809851,0.854414,0.759292,0.723832,0.757606,0.736596,0.732648,0.741744,0.756033,0.757719,0.758415,0.750871,0.630039,0.757463,0.529014,0.445111,0.350718,0.372289,0.506913,0.873595,0.587946,0.756348,0.750031
ESS,3,0.652085,0.761936,0.514046,0.765530,0.552303,0.455632,0.350539,0.783982,0.679494,0.572017,0.254100,0.259489,0.353012,0.259512,0.153005,0.210144,0.538044,0.177031,0.209448,0.289203,0.259812,0.288527,0.153897,0.155471,0.300031,0.353223,0.347173,0.311269,0.266598,0.339048
ESS,4,0.265939,0.813176,0.350201,0.639839,0.258663,0.666957,0.374164,0.455464,0.755580,0.661550,0.529639,0.285871,0.681866,0.673953,0.698832,0.360653,0.753287,0.702130,0.683506,0.330744,0.454552,0.354818,0.500871,0.756477,0.594318,0.702669,0.656911,0.706472,0.588650,0.561083
ESS,5,0.818221,0.778667,0.804163,0.590897,0.456410,0.456610,0.458447,0.511928,0.571750,0.840882,0.456954,0.437933,0.683086,0.844076,0.659320,0.459355,0.454025,0.762727,0.856027,0.484117,0.657111,0.406607,0.673602,0.594675,0.803611,0.451938,0.683064,0.456474,0.458957,0.454436
ESS-NS,1,0.882883,0.882083,0.865506,0.882083,0.882083,0.878049,0.876369,0.879389,0.882083,0.880734,0.882083,0.880665,0.883408,0.872473,0.887892,0.889222,0.879939,0.886567,0.882083,0.879389,0.883408,0.878315,0.880775,0.878049,0.862275,0.882083,0.882083,0.878049,0.882083,0.880734
ESS-NS,2,0.769231,0.824441,0.768,0.713235,0.712188,0.823529,0.779051,0.753894,0.716396,0.7,0.743472,0.777228,0.780328,0.754277,0.793333,0.78125,0.777958,0.762205,0.710102,0.670765,0.715339,0.80789,0.780844,0.737082,0.775947,0.770833,0.780328,0.768402,0.714286,0.780328
ESS-NS,3,0.862139,0.860981,0.866307,0.863484,0.860683,0.861074,0.864956,0.865047,0.857238,0.865813,0.865813,0.862903,0.827411,0.848022,0.847002,0.86193,0.866216,0.863574,0.859532,0.85781,0.865229,0.862811,0.860683,0.865813,0.854957,0.858957,0.863392,0.862231,0.861074,0.862995
ESS-NS,4,0.823209,0.828255,0.797677,0.824116,0.791003,0.781587,0.807048,0.759843,0.787463,0.793071,0.80477,0.793814,0.816216,0.812223,0.804007,0.815789,0.796278,0.775748,0.773529,0.795497,0.760508,0.738308,0.722441,0.774067,0.807767,0.792877,0.786901,0.815789,0.791016,0.790262
ESS-NS,5,0.882154,0.885822,0.881135,0.880165,0.882818,0.866535,0.880797,0.881135,0.881811,0.883151,0.881811,0.881158,0.876851,0.882488,0.87651,0.883817,0.876893,0.876851,0.883151,0.875827,0.881473,0.882828,0.878105,0.875486,0.881135,0.882154,0.881473,0.883817,0.880165,0.886157
