# map 533
method,step,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
ESSIM-DE,1,0.793522,0.795181,0.795181,0.795181,0.797571,0.795181,0.761194,0.777328,0.744939,0.795181,0.75,0.795181,0.795181,0.741525,0.785425,0.794355,0.744361,0.781377,0.795181,0.794355,0.777328,0.761134,0.794355,0.794355,0.798387,0.795181,0.794355,0.791165,0.795181,0.783753137931034
ESSIM-DE,2,0.812796,0.812796,0.812796,0.819249,0.823944,0.819249,0.823944,0.816901,0.823944,0.812796,0.774882,0.803318,0.816901,0.823944,0.812796,0.814554,0.812796,0.812796,0.816901,0.814554,0.823944,0.823944,0.793792,0.816901,0.812796,0.812796,0.808057,0.812796,0.810427,0.813700344827586
ESSIM-DE,3,0.7,0.666667,0.678855,0.7,0.7,0.7,0.666667,0.666667,0.666667,0.666667,0.63354,0.698361,0.7,0.7,0.67541,0.7,0.7,0.7,0.666667,0.0586283,0.666667,0.7,0.666667,0.666667,0.7,0.666667,0.7,0.7,0.231863,0.646321631034483
ESSIM-DE,4,0.717391,0.71968,0.71968,0.71968,0.717391,0.720504,0.71968,0.720504,0.696449,0.71968,0,0.718535,0.74442,0.71968,0.694508,0.71968,0.71968,0.718535,0.720504,0.696449,0.720504,0.696796,0.720504,0.71968,0.71968,0.720504,0.71968,0.71968,0.71968,0.692390965517241
ESSIM-EA,1,0.434764649882719,0.246083843557648,0.182098297903304,0.18209753203543,0.756246012820937,0.55420069735989,0.833845072822719,0.257950147166511,0.7489011489916,0.897401892570903,0.854479702675709,0.639105668126012,0.859436972570995,0.849206705540353,0.854620958470665,0.895822761644792,0.621010432535531,0.898490270192459,0.79399016116698,0.896138679514309,0.834637516287997,0.776242101219165,0.602655773256355,0.827199843573956,0.634442258073581,0.649668641363355,0.895037947010054,0.674076510007881,0.806437694089284,0.756064107568902
ESSIM-EA,2,0.26493183127224,0.251801237447006,0.756930034163884,0.513616142024074,0.590909608137618,0.851169125794186,0.781453415930056,0.896538986585876,0.898958111075838,0.89056312442274,0.893319289027807,0.859572464246017,0.891658019091692,0.859716125836588,0.897064362245412,0.761073224400628,0.671792695887721,0.899809895956852,0.894816724264555,0.85257150066519,0.767199237336034,0.747979801156016,0.670628614630299,0.626568410092197,0.735577359069677,0.640967265449276,0.856707169392023,0.705417298342382,0.654769063949563,0.897169862106553
ESSIM-EA,3,0.36018437367561,0.455785891908196,0.169692373888319,0.257336030217372,0.234174106684758,0.891922747642793,0.693037021207381,0.851125187057903,0.851613883441512,0.806339787704686,0.663721080432613,0.609545367394364,0.88058350901961,0.723731492388234,0.792079290819024,0.767088189832738,0.859297705897597,0.627032680644868,0.858930756447844,0.899496645796991,0.85098733928998,0.694458970317355,0.85031590773709,0.856358616225237,0.89897601251854,0.801252316571816,0.850789543921659,0.616418299432663,0.773468223588215,0.897072648295032
ESSIM-EA,4,0.679831823264082,0.54242105098309,0.45014248965249,0.77384156407593,0.175816522375195,0.627482629451152,0.712878038178269,0.666329366788642,0.888166561842049,0.668028684815111,0.69587732175071,0.708868764487287,0.788612577829345,0.851320527735807,0.815380291688485,0.857872021006651,0.735471399226537,0.854005025168612,0.853162851556525,0.853141485244549,0.823737838896688,0.714605709267864,0.859496883498579,0.622338286164171,0.854606038742596,0.85753766705411,0.894817564634028,0.791400032416059,0.833479265833516,0.886399716371867
ESS,1,0.526357668079436,0.257878836384043,0.569217414129525,0.559331239410676,0.351682526594959,0.666475701284133,0.24395856587216,0.254826461104676,0.752304981742054,0.12500186264515,0.756815493702888,0.759524563308805,0.754543991433456,0.777731856703758,0.275875572585966,0.575459560146555,0.754487384501845,0.757721131434664,0.759532477702014,0.751977331284434,0.897296065790579,0.730604379111901,0.830450480431318,0.796905380813405,0.883260527160019,0.724816094525158,0.539813882904127,0.753596728919074,0.758729492095299,0.759822348197922
ESS,2,0.351580667328089,0.155605759699829,0.676829290944152,0.25165662358515,0.252173681398854,0.750790935712866,0.842898579407483,0.785292099928483,0.750742016900331,0.847908918373287,0.757805329300463,0.843070143833756,0.871309963986278,0.786102510755882,0.750860285111703,0.751578348437324,0.878752295253798,0.757229580031708,0.757501573739573,0.745404373854399,0.708519489504397,0.815650018956512,0.845705669233575,0.6044440374244,0.826397870760411,0.882820285391063,0.789550558431074,0.755903085134923,0.764071798650548,0.756844208929688
