# map 534
method,step,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
ESSIM-DE,1,0.28972,0.28972,0.714286,0.214953,0.28972,0.28972,0.22549,0.214953,0.28972,0.214953,0.214953,0.783784,0.214953,0.205607,0.28972,0.214953,0.205607,0.214953,0.214953,0.214953,0.745902,0.205607,0.28972,0.214953,0.271028,0.215686,0.22549,0.214953,0.28972,0.292438965517241
ESSIM-DE,2,0.357664,0.352941,0.526316,0.429907,0.391111,0.35,0.338983,0.451128,0.433526,0.44,0.213115,0.540373,0.48951,0.439024,0.336,0.384615,0.455782,0.411765,0.374046,0.4,0.49162,0.311688,0.401639,0.383065,0.351648,0.497175,0.48125,0.335664,0.401639,0.40590324137931
ESSIM-DE,3,0.484277,0.579787,0,0.562092,0.45098,0,0.606452,0.433775,0.521739,0.528037,0.52381,0.675159,0.404908,0.624242,0.414815,0.474638,0.574074,0.513333,0.519481,0.444444,0.628713,0.55414,0.46,0.424437,0.401216,0.65445,0.462585,0.641509,0.484277,0.484392068965517
ESSIM-DE,4,0.54902,0.670588,0,0.501259,0.41978,0,0.179765,0.19801,0.401623,0.777778,0.56447,0.437186,0.726937,0.714953,0.509804,0.764,0.110987,0.804348,0.470449,0.263926,0,0.559322,0.509804,0.694737,0.699647,0,0.193016,0.707581,0.54902,0.447517586206897
ESSIM-DE,5,0.420495,4.22E-001,0.720539,0.726384,0.492958,0.428058,0.75082,0.75082,0.589242,0.75082,0.709898,0.743421,0.75082,0.538732,0.420495,0.722408,0.749164,0.749164,0.749164,0.75082,0.662021,0.75082,0.535211,0.75082,0.75082,0.748366,0.7625,0.727273,0.464789,0.658235448275862
ESSIM-EA,1,0.830279299439074,0.60517945579011,0.795782403883822,0.571328345185268,0.670910246692005,0.746001060470365,0.599817223691235,0.894595131165967,0.722605982783404,0.529218842830015,0.694415111510753,0.694985255971712,0.785926258745978,0.716679974023444,0.592714688381798,0.563126703331478,0.764473764939638,0.669673214319258,0.713990887724489,0.606973046226325,0.689848632593027,0.702492649274199,0.845724573881479,0.692261219980752,0.595208770600961,0.730541679556334,0.807088550589731,0.575376048667646,0.725632244353072,0.681280733396657
ESSIM-EA,2,0.40685553446689,0.296313381252595,0,0.623214897619723,0.402157485860513,0.508408510762992,0.555582992425232,0.564109656386212,0,0.544768302668764,0.797091464417417,0.59655951210362,0.792161029805515,0.750084843522757,0.646708003632491,0.773184969277793,0.758208549535942,0.651299330253529,0.666231486668467,0.598508160932863,0.569302214958941,0.406231229360531,0.647125882820978,0.733562712036573,0.672136753866099,0.821873463848657,0.668461774268015,0.672658155495946,0.564717701750939,0
ESSIM-EA,3,0.782815003200706,0.770027372262218,0.881154238297676,0.626775251759291,0.825448052277932,0.566736808779284,0.640472672336292,0.712020048220536,0.669934591057703,0.605756043617814,0.519151879664399,0.679760238609572,0.653256081479971,0.634873659584355,0.65852724320281,0.709505007067832,0.543619051400443,0.714693182424666,0.577281280217859,0.526517019153361,0.786136165089901,0.781433777814672,0.722600835256507,0.732997486340282,0.75142237891488,0.666303040269583,0.501257438084326,0.628910875688302,0.845371164712683,0.618300113214135
ESSIM-EA,4,0.733488602839497,0.619783988337823,0.724999892835563,0.660441235130853,0.791702805354789,0.708077793030962,0.810130866570101,0.738879239427039,0.861643263147881,0.857126493564139,0.636180140999865,0.892108178724788,0.786698770784558,0.511484237981718,0.549291137159007,0.817334864798874,0.883772134331834,0.612748540199263,0.704870115356806,0.800581438774501,0.79559191374624,0.604735960582575,0.885182195334753,0.701086331010659,0.726535703292067,0.745574922271265,0.896280711130592,0.894640817735052,0.885730675893095,0.645507029653851
ESSIM-EA,5,0.713007579948553,0.628345915325502,0.796760640434433,0.610598510414625,0.694399960463745,0.587716710541177,0.525770869302992,0.822867936734342,0.551618442284087,0.749370647555841,0.626597399242141,0.626018985826647,0.739803818895754,0.609550353962035,0.858386209980093,0.78172678683069,0.647898731186378,0.516529064609098,0.618568141323917,0.550623637422532,0.628940867852739,0.710302623717103,0.767687448627186,0.612736088430662,0.77602854194391,0.526106328944306,0.639032540202528,0.675509965153755,0.796059360610138,0.662673892233092
ESS,1,0.699724207313467,0.840499106635144,0.855560567674389,0.860343306843153,0.861195014493264,0.52895784108086,0.834843409669896,0.346650224007234,0.39169983139617,0.553239990710687,0.595819419532798,0.121031667921618,0.316727440968144,0.525780861625488,0.212093980317005,0.594236139981542,0.814863171926315,0.796064373025579,0.662587540617704,0.514165581487976,0.300374955256205,0.44643127269231,0.871121799865282,0.839599623692471,0.898666541591875,0.451816356084885,0.423746865728321,0.793214304525714,0.507417119749716,0.532527483584791
