# map 751
method,step,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
ESSIM-EA,1,0.900244426769204,0.90831770638004,0.896026353412308,0.891052455953322,0.890378944040276,0.910588526795618,0.895916615845636,0.890580835714936,0.893318689581938,0.901938678459264,0.916629935032688,0.89966700527817,0.843652708696183,0.897790111647919,0.880038096336648,0.900467864442617,0.898930799379013,0.896979542090558,0.89357827860862,0.962006147485226,0.892429034514353,0.902597031388432,0.895664791120216,0.929464358442929,0.86993356417865,0.911079243174754,0.911239136080257,0.899826798322611,0.904641669886187,0.912290650941431
ESSIM-EA,2,0.397814351064153,0.318818150618728,0.891309495922178,0.810282517503947,0.81474944138899,0.908673874912784,0.881997663849033,0.910086068930104,0.895391026791185,0.907699304302223,0.896116802468896,0.891016063466668,0.750827209558338,0.974102305946872,0.893688179110177,0.944300674134865,0.827621998079121,0.886025208369829,0.88646573221311,0.891551739177667,0.50144197507761,0.89318539602682,0.896974171013571,0.892623991183937,0.58444891879335,0.891056985049509,0.89154561643023,0.890623267819174,0.884762756126002,0.878801114670932
ESSIM-EA,3,0.79130541523918,0.694412497160956,0.483950358275324,0.51435880339704,0.843571782344952,0.789786161920056,0.583887820644304,0.596876809839159,0.903288008547388,0.809356296667829,0.891758190188557,0.899250797214918,0.840963248163462,0.892428777008317,0.864867152413353,0.70871332497336,0.832447334358405,0.893866176540032,0.601546584600583,0.894118906487711,0.893442318751477,0.898265139302239,0.508542792564258,0.885465384037234,0.63622426707298,0.890824376684613,0.894544032472186,0.916658586100675,0.888881279756315,0.898227377273142
ESSIM-DE,1,0.8223845,0.823024,0.823024,0.821612,0.821306,0.823024,0.823024,0.823024,0.823024,0.823024,0.823024,0.823024,0.823024,0.823024,0.822414,0.823024,0.823024,0.822414,0.951389,0.823024,0.822719,0.823024,0.823834,0.823024,0.823024,0.823024,0.822719,0.823024,0.824441,0.823024
ESSIM-DE,2,0.5936192,0.751736,0.232458,0.617354,0.751736,0.809074,0.505828,0.16874,0.725293,0.747841,0.449741,0.827723,0.809074,0.666667,0.664625,0.795539,0.803002,0.803002,0.745583,0.795539,0.807547,0.809074,0.749135,0.801498,0.342002,0.666667,0.393116,0.740171,0.809074,0.809074
ESSIM-DE,3,0.6377487,0.711712,0.619883,0.73494,0.619883,0.616352,0.621094,0.678801,0.647658,0.4625,0.702222,0.616279,0.619883,0.73494,0.678801,0.813754,0.652977,0.68319,0.817694,0.623529,0.622309,0,0.67019,0.623529,0.623529,0.650307,0.619883,0.640404,0.787634,0.616279
ESS,1,0.886556334053166,0.895215023602825,0.855234724818729,0.855230316392146,0.906771844625473,0.895346358397044,0.891867286474444,0.699338387930766,0.932308164611459,0.938030455226544,0.852077175453305,0.855679516435601,0.853477305751294,0.859901697291061,0.983274461966939,0.857074486976489,0.863722066255286,0.855508905361872,0.885832956749946,0.855041012465022,0.855449021511245,0.835410194098949,0.85263447701931,0.92559836927685,0.925387335726991,0.935115327645559,0.857752533629537,0.953624396920204,0.938860083436593,0.925506977553479
ESS,2,0.902033583730168,0.902811027909629,0.701464969431981,0.75238104885444,0.758210572535172,0.757709170891903,0.84138939250261,0.759538820474409,0.8677249588072,0.769987290492281,0.83596843839623,0.764155677193776,0.892435978492722,0.750902908458374,0.85825218586251,0.834355683764443,0.852121840720065,0.754638618677854,0.716381821082905,0.877411895990372,0.79303078702651,0.778926257416606,0.560200115200132,0.803716795518994,0.909637100319378,0.855844787484966,0.561096351593733,0.83574769096449,0.89568590419367,0.711632326012477
ESS,3,0.856930675916374,0.853129257215187,0.734106642333791,0.732442695647478,0.77407756075263,0.753313362379558,0.662943882169202,0.750158581128344,0.863809798867442,0.750772330085747,0.82896020973276,0.783855354646221,0.89124554451555,0.764906945079565,0.758211004193872,0.861578584741801,0.758155430178158,0.69390954868868,0.641465767752379,0.751981710684486,0.758694848413579,0.818645300669596,0.751809810488485,0.773481088457629,0.606658771634102,0.853621607040986,0.701060364721343,0.822935645468533,0.750859414017759,0.75964826237876
ESS-NS,1,0.949565,0.929825,0.947461,0.925801,0.939236,0.947917,0.894309,0.875796,0.934708,0.897059,0.929947,0.928571,0.926117,0.923894,0.936968,0.906096,0.942207,0.938462,0.912106,0.947644,0.9,0.88,0.935374,0.923214,0.940663,0.91196,0.95122,0.948097,0.951389,0.932624
ESS-NS,2,0.897092,0.891892,0.864097,0.893665,0.893665,0.888186,0.90724,0.888143,0.888383,0.883146,0.888143,0.873967,0.889391,0.881466,0.880795,0.877828,0.891593,0.884354,0.904018,0.881466,0.903803,0.882483,0.886994,0.897959,0.87931,0.861048,0.876033,0.866213,0.900452,0.895928
ESS-NS,3,0.843195,0.853591,0.873112,0.849432,0.831429,0.850416,0.843478,0.840782,0.846797,0.848739,0.85124,0.835196,0.85503,0.848485,0.789082,0.854286,0.848739,0.808184,0.844828,0.850949,0.847701,0.814621,0.84573,0.847305,0.848571,0.853107,0.856734,0.851955,0.846369,0.84136
